Entered_Date;Submission_Status;Fraud_Type;UBICACION;Transaction_Amount_USD;ano;mes;Local_Amount;Merchant_Name;Acquirer_Reference_Number;Transaction_Type;Local_Currency_Code;Directory_Server_ID;Program_Protocol;Transaction_Type_Indicator;string_field_24
2023-03-03 03:27:04.000000 UTC;Success;CNP;INTER;19;2023;202301;1900;CYBDIG.NET;85.436.743.018.701.300.000.000;;840;;;;
2023-04-05 02:45:16.000000 UTC;Success;CNP;INTER;45;2023;202302;4500;SPPHLP.COM;85.426.703.036.001.600.000.000;;840;;;;
2023-04-27 02:58:31.000000 UTC;Success;CNP;INTER;39,99;2023;202302;3999;chdgmg.com;25.482.853.043.317.200.000.000;;840;;;;
2023-04-30 07:10:43.000000 UTC;Success;CNP;INTER;44,42;2023;202303;4442;BGCSV.COM 877-810-8259;85.101.653.064.980.000.000.000;;840;;;;
2023-04-26 04:52:09.000000 UTC;Success;CNP;INTER;50,99;2023;202303;1059805;PAYPAL *ACTIVECAMPA;85.353.353.088.312.700.000.000;;32;;;;
2023-06-23 03:07:54.000000 UTC;Success;CNP;INTER;9,9;2023;202305;4980;SELECOES;25.502.593.151.414.000.000.000;;986;;;;
2023-08-24 03:17:14.000000 UTC;Success;CNP;INTER;24,95;2023;202307;2495;TIMHAFUN.NET;75.125.963.197.000.000.000.000;;840;;;;
2023-09-06 02:40:10.000000 UTC;Success;CNP;INTER;10;2023;202308;1000;CHICKFILA APP 86623220;55.263.523.214.837.000.000.000;;840;;;;
2023-09-06 02:40:11.000000 UTC;Success;CNP;INTER;21,84;2023;202308;1999;unimeal.com;85.297.863.228.332.200.000.000;;978;;;;
2023-09-28 02:47:57.000000 UTC;Success;CNP;INTER;39,45;2023;202308;3629;ADOBE SYSTEMS SOFTWARE;55.204.713.232.205.200.000.000;;978;;;;
2023-09-16 02:40:24.000000 UTC;Success;CNP;INTER;19,8;2023;202308;1980;PIZZA HUT 040746;52.704.873.237.400.500.000.000;;840;;;;
2023-09-17 05:22:47.000000 UTC;Success;CNP;INTER;29,17;2023;202308;2917;CHECKPEOPLE*8002672122;82.701.593.239.900.000.000.000;;840;;;;
2023-09-28 02:47:58.000000 UTC;Success;CNP;INTER;5,71;2023;202309;199900;DLO*SOLIDGATE TECH LIM;2.708.003.257.005.400.000.000;;32;;;;
2023-11-05 02:37:11.000000 UTC;Success;CNP;INTER;9,93;2023;202309;800;giffgaff;17.979.673.258.000.100.000.000;;826;;;;
2024-01-31 03:05:03.000000 UTC;Success;CNP;INTER;49,27;2023;202311;4927;JESS BRILEY MANUFACTUR;75.306.373.312.172.300.000.000;;840;;;;
2023-12-21 02:47:09.000000 UTC;Success;CNP;INTER;25;2023;202311;2500;MINDMUP;85.383.903.318.000.000.000.000;;840;;;;
2023-12-21 02:47:10.000000 UTC;Success;CNP;INTER;80,29;2023;202311;8029;CATALINA HOTEL;85.369.433.323.713.900.000.000;;840;;;;
2024-03-29 02:36:29.000000 UTC;Success;CNP;INTER;19,82;2023;202312;1982;FACEBK *LM8XXVP5C2;55.207.573.352.209.300.000.000;;840;;;;
2023-07-27 03:34:47.000000 UTC;Success;CNP;INTER;167,68;2023;202306;16768;DL*TIENDA MIA;75.116.803.174.175.400.000.000;;840;;;;
2023-04-27 02:58:30.000000 UTC;Success;CNP;INTER;12,99;2023;202302;1299;FNCTRS.COM;95.209.143.042.000.000.000.000;;840;;;;
2023-04-27 02:58:31.000000 UTC;Success;CNP;INTER;10,99;2023;202302;1099;CNTDTRS.COM;95.209.143.057.000.000.000.000;;840;;;;
2023-04-27 02:58:31.000000 UTC;Success;CNP;INTER;12,99;2023;202302;1299;FNCTRS.COM;95.209.143.057.000.000.000.000;;840;;;;
2023-04-26 04:52:10.000000 UTC;Success;CNP;INTER;5,43;2023;202303;543;MY.CLUB;95.209.143.068.000.000.000.000;;840;;;;
2023-04-26 04:52:10.000000 UTC;Success;CNP;INTER;5,43;2023;202303;543;MY.CLUB;95.209.143.069.000.000.000.000;;840;;;;
2023-04-26 04:52:10.000000 UTC;Success;CNP;INTER;21,1;2023;202303;2110;MY.CLUB;95.209.143.069.000.000.000.000;;840;;;;
2023-04-26 04:52:10.000000 UTC;Success;CNP;INTER;52,45;2023;202303;5245;MY.CLUB;95.209.143.069.000.000.000.000;;840;;;;
2023-06-29 02:50:07.000000 UTC;Success;CNP;INTER;5;2023;202305;500;DELITEDANGERS.NET;95.209.143.140.000.000.000.000;;840;;3;;
2023-06-29 02:50:07.000000 UTC;Success;CNP;INTER;5;2023;202305;500;DELITEDANGERS.NET;95.209.143.147.000.000.000.000;;840;;3;;
2023-09-28 02:47:58.000000 UTC;Success;CNP;INTER;24,95;2023;202309;2495;EZDCLI.COM;95.209.143.253.000.000.000.000;;840;;3;;
2023-10-22 02:26:13.000000 UTC;Success;CNP;INTER;16,69;2023;202307;1500;SQUARESPACE INC.;82.711.163.204.000.000.000.000;;978;;;;
2023-09-06 02:40:11.000000 UTC;Success;CNP;INTER;27,29;2023;202308;2500;SQUARESPACE INC.;82.711.163.227.000.000.000.000;;978;;;;
2023-03-09 02:57:17.000000 UTC;Success;CNP;INTER;19;2023;202301;1900;TRUECARCIN.COM;75.122.223.028.018.400.000.000;;840;;;;
2023-03-16 02:57:44.000000 UTC;Success;CNP;INTER;19;2023;202302;1900;TRUECARCIN.COM;75.122.223.058.018.600.000.000;;840;;;;
2023-04-26 04:52:10.000000 UTC;Success;CNP;INTER;5;2023;202303;500;IFANS.COM;75.122.223.069.018.700.000.000;;840;;;;
2023-04-26 04:52:11.000000 UTC;Success;CNP;INTER;10;2023;202303;1000;IFANS.COM;75.122.223.069.018.700.000.000;;840;;;;
2023-04-26 04:52:11.000000 UTC;Success;CNP;INTER;11;2023;202303;1100;IFANS.COM;75.122.223.069.018.700.000.000;;840;;;;
2023-04-26 04:52:11.000000 UTC;Success;CNP;INTER;5;2023;202303;500;IFANS.COM;75.122.223.070.018.800.000.000;;840;;;;
2023-04-05 02:45:16.000000 UTC;Success;CNP;INTER;45;2023;202303;4500;SPNSUPT.COM;75.122.223.073.018.800.000.000;;840;;;;
2023-04-30 07:10:46.000000 UTC;Success;CNP;INTER;5;2023;202303;500;ATTGTS.COM;75.122.223.077.018.800.000.000;;840;;;;
